Year,Day,Hour,Minutes,Latitude,Longitude,Altitude,Hdop,Num_of_sats,Individual
21,121,12,0,-32.469125,152.381851,13,1.1,8,UOM2002
21,121,13,0,-32.469195,152.381876,0,1,9,UOM2002
21,121,14,0,-32.46915,152.381825,32,1,9,UOM2002
21,121,15,0,-32.469284,152.381774,16,0.8,11,UOM2002
21,121,16,0,-32.469894,152.385208,12,0.9,9,UOM2002
21,121,17,0,-32.476621,152.404001,2,0.8,10,UOM2002
21,121,18,0,-32.490137,152.407104,0,1.1,8,UOM2002
21,121,19,0,-32.493323,152.398686,0,0.8,9,UOM2002
21,121,20,0,-32.491472,152.404764,0,0.7,11,UOM2002
21,121,21,0,-32.493901,152.394821,0,0.9,9,UOM2002
21,121,22,0,-32.493901,152.394846,15,0.8,10,UOM2002
21,121,23,0,-32.496908,152.387191,5,0.8,10,UOM2002
21,122,0,0,-32.496037,152.389709,0,1,7,UOM2002
21,122,1,0,-32.488573,152.400263,7,1,8,UOM2002
21,122,2,0,-32.488459,152.400288,15,0.9,8,UOM2002
21,122,3,0,-32.488503,152.400441,26,0.9,8,UOM2002
21,122,4,0,-32.484956,152.396652,7,1.1,7,UOM2002
21,122,5,0,-32.48802,152.39299,18,0.9,9,UOM2002
21,122,6,0,-32.490315,152.390777,22,0.7,12,UOM2002
21,122,7,0,-32.492464,152.386962,5,0.8,11,UOM2002
21,122,8,0,-32.494861,152.384724,8,0.7,12,UOM2002
21,122,9,0,-32.494747,152.385564,0,1,9,UOM2002
21,122,10,0,-32.494683,152.385615,0,0.8,10,UOM2002
21,122,11,0,-32.49467,152.385665,10,0.8,10,UOM2002
21,122,12,0,-32.494861,152.385716,11,0.9,10,UOM2002
21,122,13,0,-32.494689,152.385564,6,0.8,11,UOM2002
21,122,14,0,-32.490112,152.407282,0,1,9,UOM2002
21,122,15,0,-32.496927,152.387268,8,0.8,11,UOM2002
21,122,16,0,-32.517005,152.349578,4,0.8,10,UOM2002
21,122,17,0,-32.53873,152.316034,26,0.9,9,UOM2002
21,122,18,0,-32.535895,152.319976,0,1.1,8,UOM2002
